mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9884105640262172e+33	916.6731493625012	13807.694991812214	69500430000.10088	1.9198955287096724e-09	1512.510696448127	0.0	0.0	0	0.0	0	0	0	0	0
1.9884105640262172e+33	14725.64345311425	27643.06071494628	69430860000.20175	1.5405380339631456e-08	24297.31169763851	3.042285355803484e+22	2.281714016852613e+22	0	7.60571338950871e+21	0	0	0	0	0
1.9884105639957945e+33	74848.1118198276	41506.18043095707	69361290000.30261	5.214976443839959e-08	123499.38450271552	1.319570700282406e+23	9.896780252118046e+22	0	3.298926750706015e+22	0	0	0	0	0
1.9884105638638374e+33	237508.45516278205	55397.13773510236	69291720000.40349	1.239869624829574e-07	391888.95101859036	3.556160673516672e+23	2.667120505137504e+23	0	8.89040168379168e+22	0	0	0	0	0
1.9884105635082214e+33	582189.2170962025	69316.01655766669	69222150000.50436	2.4289290688718843e-07	960612.2082087342	7.50583637383695e+23	5.629377280377712e+23	0	1.8764590934592373e+23	0	0	0	0	0
1.9884105627576378e+33	1212092.9544811244	83262.90116530865	69152580000.60524	4.2098697512971065e-07	1999953.3748938553	1.36624139505828e+24	1.02468104629371e+24	0	3.4156034876457e+23	0	0	0	0	0
1.9884105613913964e+33	2254611.036368443	97237.87616239539	69083010000.70612	6.705334314115227e-07	3720108.210007931	2.2521697737645092e+24	1.689127330323382e+24	0	5.630424434411273e+23	0	0	0	0	0
1.9884105591392265e+33	3861799.4932162235	111241.02649235161	69013440000.80698	1.003942882807967e-06	6371969.163806769	3.4581490266251734e+24	2.59361176996888e+24	0	8.645372566562934e+23	0	0	0	0	0
1.9884105556810773e+33	6210862.015605427	125272.43743901352	68943870000.90785	1.4337737500618586e-06	10247922.325748954	5.034160233692503e+24	3.7756201752693776e+24	0	1.2585400584231258e+24	0	0	0	0	0
1.988410550646917e+33	9504640.203041563	139332.1946279796	68874300001.00873	1.97273375316578e-06	15682656.335018579	7.030386315071269e+24	5.272789736303452e+24	0	1.7575965787678173e+24	0	0	0	0	0
1.988410543616531e+33	13972111.16482056	153420.38402798423	68804730001.10959	2.6336814118842485e-06	23053983.421953924	9.497213049998232e+24	7.122909787498674e+24	0	2.374303262499558e+24	0	0	0	0	0
1.9884105341193178e+33	19868892.576329906	167537.09195225898	68735160001.21046	3.429627561366071e-06	32783672.750944346	1.2485230101870202e+25	9.363922576402651e+24	0	3.1213075254675506e+24	0	0	0	0	0
1.9884105216340875e+33	27477755.29558952	181682.4050599099	68665590001.31134	4.373736883000762e-06	45338296.23772271	1.60452320492586e+25	1.203392403694395e+25	0	4.01130801231465e+24	0	0	0	0	0
1.9884105055888556e+33	37109143.64626576	195856.4103572896	68596020001.41222	5.4793294506724824e-06	61230087.0163385	2.022821942289716e+25	1.517116456717287e+25	0	5.05705485572429e+24	0	0	0	0	0
1.9884104853606362e+33	49101703.47487649	210059.1951993926	68526450001.51308	6.75988229256952e-06	81017810.73354621	2.5085399748706393e+25	1.8814049811529796e+25	0	6.271349937176598e+24	0	0	0	0	0
1.9884104602752364e+33	63822818.09135241	224290.8472912378	68456880001.61395	8.229030968704593e-06	105307649.85073146	3.0668188596793833e+25	2.3001141447595376e+25	0	7.667047149198458e+24	0	0	0	0	0
1.988410429607048e+33	81669152.20365508	238551.45468926622	68387310001.71483	9.900571164307126e-06	134754101.13603088	3.7028210636517074e+25	2.7771157977387806e+25	0	9.257052659129269e+24	0	0	0	0	0
1.9884103925788372e+33	103067203.95865795	252841.10580274332	68317740001.8157	1.1788460299247987e-05	170060886.5317856	4.42173006975848e+25	3.31629755231886e+25	0	1.10543251743962e+25	0	0	0	0	0
1.9884103483615365e+33	128473865.20302582	267159.8893951579	68248170001.91657	1.390681915365791e-05	211981877.5849926	5.228750483718343e+25	3.921562862788757e+25	0	1.3071876209295858e+25	0	0	0	0	0
1.9884102960740318e+33	158376990.07945263	281507.8945856455	68178600002.01745	1.626993350990767e-05	261322033.63109684	6.129108141326177e+25	4.596831105994633e+25	0	1.5322770353315443e+25	0	0	0	0	0
1.9884102347829502e+33	193295972.07510433	295885.2108503978	68109030002.11832	1.889225581111106e-05	318938353.9239221	7.128050216378728e+25	5.346037662284046e+25	0	1.782012554094682e+25	0	0	0	0	0
1.988410163502448e+33	233782329.64081752	310291.92802408733	68039460002.21919	2.178840683632196e-05	385740843.90734893	8.230845329218226e+25	6.173133996913669e+25	0	2.0577113323045565e+25	0	0	0	0	0
1.988410081193995e+33	280420300.5011856	324728.13630129816	67969890002.32005	2.4973177392593988e-05	462693495.8269563	9.442783655884935e+25	7.082087741913701e+25	0	2.3606959139712338e+25	0	0	0	0	0
1.9884099867661582e+33	333827444.7772859	339193.9262379517	67900320002.42093	2.8461530024071376e-05	550815283.8825216	1.0769177037874968e+26	8.076882778406226e+25	0	2.692294259468742e+25	0	0	0	0	0
1.988409879074388e+33	394655257.0456126	353689.3887527578	67830750002.521805	3.226860073829062e-05	651181174.1252607	1.2215359092529872e+26	9.161519319397404e+25	0	3.053839773132468e+25	0	0	0	0	0
1.988409756920797e+33	463589787.45825225	368214.61512865237	67761180002.62268	3.640970074985892e-05	764923149.3061161	1.3786685324016684e+26	1.0340013993012513e+26	0	3.446671331004171e+25	0	0	0	0	0
1.9884096190539437e+33	541352272.0512793	382769.69701424934	67691610002.72356	4.0900318241692233e-05	893231248.8846109	1.5488533234941492e+26	1.161639992620612e+26	0	3.872133308735373e+25	0	0	0	0	0
