mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
2.7205949674717943e+35	17172816.27148655	241557.45169671992	69500430000.10088	2.6268509169971667e-07	38638836.61084474	0.0	0.0	0	0.0	0	0	0	0	0
2.7205949674717943e+35	275867979.41623497	483598.98646079144	69430860000.20175	2.1078041417726826e-06	620702953.6865287	4.1625338239265903e+24	3.121900367944943e+24	0	1.0406334559816476e+24	0	0	0	0	0
2.7205949674301688e+35	1402193217.335401	726126.0609038381	69361290000.30261	7.1352661896277515e-06	3154934739.0046525	1.805470897892597e+25	1.3541031734194479e+25	0	4.5136772447314926e+24	0	0	0	0	0
2.7205949672496217e+35	4449447511.658409	969140.137475418	69291720000.40349	1.696421816831586e-05	10011256901.23142	4.865631377606671e+25	3.6492235332050033e+25	0	1.2164078444016678e+25	0	0	0	0	0
2.7205949667630585e+35	10906644824.697502	1212642.6844861847	69222150000.50436	3.3233238249038274e-05	24539950855.56938	1.026968023343203e+26	7.702260175074022e+25	0	2.5674200583580075e+25	0	0	0	0	0
2.7205949657360907e+35	22707166262.853287	1456635.1761314564	69152580000.60524	5.76005311292422e-05	51091124091.41989	1.8693269543996363e+26	1.4019952157997271e+26	0	4.673317385999091e+25	0	0	0	0	0
2.7205949638667637e+35	42237542485.17865	1701119.0925145624	69083010000.70612	9.174412528396351e-05	95034470591.65196	3.0814771673658292e+26	2.311107875524372e+26	0	7.703692918414573e+25	0	0	0	0	0
2.7205949607852863e+35	72346368190.71532	1946095.9196704435	69013440000.80698	0.0001373620722003196	162779328429.10944	4.731529297226091e+26	3.5486469729195685e+26	0	1.1828823243065227e+26	0	0	0	0	0
2.720594956053757e+35	116353350543.45354	2191567.1495893383	68943870000.90785	0.00019617264761524446	261795038722.77045	6.887868755584562e+26	5.1659015666884216e+26	0	1.7219671888961404e+26	0	0	0	0	0
2.720594949165888e+35	178058493419.30594	2437534.2802404147	68874300001.00873	0.0002699145547767161	400631610193.43835	9.61915711684643e+26	7.214367837634822e+26	0	2.4047892792116074e+26	0	0	0	0	0
2.720594939546731e+35	261751419385.54178	2683998.815595799	68804730001.10959	0.0003603471297490958	588940693617.469	1.2994333512549118e+27	9.745750134411838e+26	0	3.2485833781372796e+26	0	0	0	0	0
2.7205949265523972e+35	372220831349.2185	2930962.265654392	68735160001.21046	0.00046925054878314615	837496870535.7417	1.7082616033832072e+27	1.2811962025374055e+27	0	4.270654008458018e+26	0	0	0	0	0
2.720594909469781e+35	514764115838.003	3178426.1464659646	68665590001.31134	0.0005984260377717812	1158219260635.5068	2.1953503142097806e+27	1.6465127356573354e+27	0	5.4883757855244516e+26	0	0	0	0	0
2.7205948875162777e+35	695197089903.5405	3426391.98015516	68596020001.41222	0.0007496960838125463	1564193452282.9663	2.76767750878453e+27	2.0757581315883974e+27	0	6.919193771961325e+26	0	0	0	0	0
2.7205948598395026e+35	919863893665.3473	3674861.2949459064	68526450001.51308	0.0009249046488984459	2069693760747.0315	3.432249533776291e+27	2.5741871503322184e+27	0	8.580623834440728e+26	0	0	0	0	0
2.7205948255170073e+35	1195647030540.3035	3923835.6251856005	68456880001.61395	0.001125917385758368	2690205818715.6826	4.1961012009999e+27	3.147075900749925e+27	0	1.049025300249975e+27	0	0	0	0	0
2.7205947835559953e+35	1529977557231.603	4173316.5113695604	68387310001.71483	0.001354621855869155	3442449503771.1064	5.06629593177244e+27	3.79972194882933e+27	0	1.26657398294311e+27	0	0	0	0	0
2.720594732893036e+35	1930845425579.2	4423305.50016556	68317740001.8157	0.0016129277496612707	4344402207553.1997	6.049925902096042e+27	4.537444426572032e+27	0	1.5124814755240106e+27	0	0	0	0	0
2.720594672393777e+35	2406809978402.476	4673804.144438302	68248170001.91657	0.0019027671089401398	5415322451405.57	7.1541121886648e+27	5.3655841414986e+27	0	1.7885280471662e+27	0	0	0	0	0
2.7205946008526554e+35	2967010601496.241	4924814.003274314	68178600002.01745	0.002226094551546136	6675773853366.542	8.386004915714423e+27	6.289503686785817e+27	0	2.0965012289286057e+27	0	0	0	0	0
2.720594516992606e+35	3621177533969.069	5176336.642006613	68109030002.11832	0.0025848874982752667	8147649451430.405	9.752783402688906e+27	7.314587552016679e+27	0	2.4381958506722265e+27	0	0	0	0	0
2.720594419464772e+35	4379642839144.88	5428373.632239627	68039460002.21919	0.0029811464020839842	9854196388075.98	1.1261656312752593e+28	8.446242234564444e+27	0	2.815414078188148e+27	0	0	0	0	0
