mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.075185612325914e+35	2682134.9861755352	133649.71251052842	69500430000.10088	1.0381377402550725e-07	5230163.223042294	0.0	0.0	0	0.0	0	0	0	0	0
1.075185612325914e+35	43086419.10915792	267567.26011506165	69430860000.20175	8.330092181788386e-07	84018517.26285794	1.645043283478856e+24	1.233782462609142e+24	0	4.11260820869714e+23	0	0	0	0	0
1.0751856123094636e+35	219001439.6088195	401753.44873253687	69361290000.30261	2.8198741962433817e-06	427052807.23719805	7.13526399959203e+24	5.351447999694023e+24	0	1.7838159998980075e+24	0	0	0	0	0
1.075185612238111e+35	694936616.7729714	536209.087511923	69291720000.40349	6.704299433399656e-06	1355126402.7072942	1.9229091116586618e+25	1.4421818337439965e+25	0	4.8072727791466546e+24	0	0	0	0	0
1.0751856120458202e+35	1703453481.5749958	670934.9888450357	69222150000.50436	1.313385492643557e-05	3321734289.0712414	4.0586020933630405e+25	3.0439515700222806e+25	0	1.0146505233407601e+25	0	0	0	0	0
1.07518561163996e+35	3546517013.1486826	805931.9683795769	69152580000.60524	2.276386712206704e-05	6915708175.639932	7.387624656129004e+25	5.540718492096752e+25	0	1.846906164032251e+25	0	0	0	0	0
1.0751856109011975e+35	6596867318.593087	941200.8450320537	69083010000.70612	3.625749687113853e-05	12863891271.25652	1.2178071174414574e+26	9.13355338081093e+25	0	3.0445177936036434e+25	0	0	0	0	0
1.0751856096833903e+35	11299411941.490318	1076742.4410008336	69013440000.80698	5.428581816656925e-05	22033853285.90612	1.8699116500254227e+26	1.4024337375190669e+26	0	4.674779125063557e+25	0	0	0	0	0
1.0751856078134787e+35	18172639089.460682	1212557.5817792527	68943870000.90785	7.752789767298552e-05	35436646224.44833	2.7221021409430023e+26	2.0415766057072518e+26	0	6.805255352357506e+25	0	0	0	0	0
1.0751856050913766e+35	27810052075.068626	1348647.0961686873	68874300001.00873	0.00010667087505604198	54229601546.38383	3.801513807969257e+26	2.851135355976943e+26	0	9.503784519923142e+25	0	0	0	0	0
1.0751856012898628e+35	40881625268.462395	1485011.8162918517	68804730001.10959	0.00014241004411958078	79719169273.50168	5.135391560119156e+26	3.851543670089367e+26	0	1.283847890029789e+26	0	0	0	0	0
